Start,YLow,YVAL,YPOC,YVAH,YHigh,SessionOpen,HourClose,LinRegAlpha,LinRegBeta,LinRegR2,YNakedLowDistPct,YNakedVALDistPct,YNakedPOCDistPct,YNakedVAHDistPct,YNakedHighDistPct,CrossYLow,CrossYVAL,CrossYPOC,CrossYVAH,CrossYHigh
2018-08-12T00:00:00Z,6003,6044.545454545455,6099.939393939394,6169.181818181818,6459,6222.55,6265.01,6174.462863387977,1.8481967213114783,0.8010980488987017,-0.04182116229662845,-0.0351898154120337,-0.026348019565907512,-0.015295774758249739,0.030964036769294826,false,false,false,false,false
2018-08-13T00:00:00Z,6151,6285.222222222223,6309.626262626262,6355.383838383838,6452,6308.56,6333.82,6326.510693989073,0.0845640455682135,0.0785088126121617,-0.02886409781143129,-0.007672743743550824,-0.0038197702766635854,0.0034045549737502217,0.018658566236489243,false,true,true,true,true
2018-08-14T00:00:00Z,6158,6176.383838383838,6345.515151515152,6408.020202020202,6521,6248.25,6215.99,6230.192950819672,-0.4055068074465136,0.17705908404781112,-0.009329165587460692,-0.006371657872062446,0.020837413109601556,0.03089293934195559,0.04906861175774096,true,true,false,false,false
2018-08-15T00:00:00Z,5886,5918.818181818182,6020.919191919192,6090.20202020202,6246,6188.08,6222.96,6218.094825136611,-0.4161014170602936,0.2496952145432214,-0.05414786532454009,-0.048874139988336424,-0.03246699449792516,-0.021333574343717413,0.0037024181418488893,false,false,false,false,true
2018-08-16T00:00:00Z,6179,6256.090909090909,6341.747474747474,6457.383838383838,6602,6265.27,6290,6231.689912568308,1.0352289524868026,0.6790850970956148,-0.01764705882352941,-0.0053909524497759926,0.008226943521061108,0.02661110308169131,0.04960254372019078,false,true,true,true,false
2018-08-17T00:00:00Z,6218,6228.222222222223,6294.666666666667,6394.333333333333,6470,6316,6354.01,6303.572289617487,0.5799280355654362,0.679678175062911,-0.021405380224456715,-0.019796597389330137,-0.009339508961007811,0.0063461236814756055,0.018254614015401262,false,false,false,true,true
2018-08-18T00:00:00Z,6292,6442.747474747474,6471.737373737374,6526.818181818182,6578,6579.04,6613,6547.7112349726785,0.8854101139205346,0.8164062342725675,-0.04854075306215031,-0.02574512706071762,-0.021361352829672817,-0.01303218179068774,-0.005292605474066233,false,true,true,true,true
2018-08-19T00:00:00Z,6298,6435.252525252526,6511.858585858586,6610.80808080808,6613,6387.96,6362,6359.414163934428,0.2003334259516517,0.12284867351726336,-0.010059729644765796,0.0115140718724498,0.023555263416942106,0.03910846916191141,0.039453002200565856,false,true,true,false,false
2018-08-20T00:00:00Z,6308,6326.50505050505,6372.767676767677,6421.343434343435,6536,6477.53,6504.29,6491.336519125683,0.22454737427063132,0.3436878558483881,-0.030178543699619784,-0.0273334905877428,-0.02022085780805027,-0.012752593389373065,0.004875243877502392,true,true,true,true,false
2018-08-21T00:00:00Z,6237,6401.040404040404,6459.626262626262,6497.707070707071,6526,6251,6307.79,6260.184857923497,0.8814567935537684,0.9198691603231739,-0.011222631064128635,0.014783371678575815,0.024071229800970293,0.03010833758052673,0.034593732511703786,false,true,true,false,false
